Temperature (°C), Pressure (Pa), Production, Performance
37, 888, 51, 19
26, 1086, 31, 11
20, 1140, 57, 51
37, 1136, 98, 34
20, 829, 60, 83
25, 824, 17, 16
21, 1051, 86, 75
33, 829, 10, 99
29, 879, 5, 7
22, 947, 13, 55
38, 995, 36, 16
24, 842, 8, 99
36, 1177, 56, 63
30, 964, 22, 67
27, 972, 52, 23
39, 1026, 27, 100
40, 1057, 31, 10
21, 1145, 79, 80
31, 1149, 12, 66
20, 903, 11, 89
22, 811, 66, 1
24, 1164, 100, 21
33, 1138, 70, 76
39, 1152, 91, 75
25, 1177, 9, 32
29, 855, 69, 84
23, 1182, 86, 18
24, 988, 36, 51
24, 1174, 33, 0
30, 1170, 32, 37
35, 955, 90, 79
28, 836, 65, 74
31, 932, 85, 82
25, 1102, 43, 45
33, 875, 37, 62
40, 902, 77, 89
26, 858, 93, 75
39, 1179, 23, 86
21, 811, 70, 16
40, 996, 68, 19
32, 1125, 54, 29
25, 888, 36, 62
37, 1169, 64, 1
38, 1180, 88, 71
24, 805, 94, 84
37, 934, 24, 38
28, 1022, 95, 5
